System,Composition [decimal],Steps [-],Job,Crystallization
Pd-Si,Si0.98,200000,job1,False
Pd-Si,Si0.98,200000,job10,False
Pd-Si,Si0.99,2000,job8,False
Pd-Si,Si0.99,2000,job9,False
Pd-Si,Si0.99,2000,job7,False
Pd-Si,Si0.99,2000,job6,False
Pd-Si,Si0.99,2000,job4,False
Pd-Si,Si0.99,2000,job5,False
Pd-Si,Si0.99,2000,job3,False
Pd-Si,Si0.99,2000,job1,False
Pd-Si,Si0.99,2000,job10,False
Pd-Si,Si0.99,2000,job2,False
Pd-Si,Si0.99,5000,job9,False
Pd-Si,Si0.99,5000,job8,False
Pd-Si,Si0.99,5000,job7,False
Pd-Si,Si0.99,5000,job6,False
Pd-Si,Si0.99,5000,job4,False
Pd-Si,Si0.99,5000,job5,False
Pd-Si,Si0.99,5000,job3,False
Pd-Si,Si0.99,5000,job1,False
Pd-Si,Si0.99,5000,job10,False
Pd-Si,Si0.99,5000,job2,False
Pd-Si,Si0.99,6667,job9,False
Pd-Si,Si0.99,6667,job8,False
Pd-Si,Si0.99,6667,job7,False
Pd-Si,Si0.99,6667,job6,False
Pd-Si,Si0.99,6667,job1,False
Pd-Si,Si0.99,6667,job10,False
Pd-Si,Si0.99,6667,job2,False
Pd-Si,Si0.99,6667,job4,False
Pd-Si,Si0.99,6667,job5,False
Pd-Si,Si0.99,6667,job3,False
Pd-Si,Si0.99,10000,job1,False
Pd-Si,Si0.99,10000,job2,False
Pd-Si,Si0.99,10000,job3,False
Pd-Si,Si0.99,10000,job6,False
Pd-Si,Si0.99,10000,job8,False
Pd-Si,Si0.99,10000,job7,False
Pd-Si,Si0.99,10000,job5,False
Pd-Si,Si0.99,10000,job9,False
Pd-Si,Si0.99,10000,job4,False
Pd-Si,Si0.99,10000,job10,False
Pd-Si,Si0.99,20000,job1,False
Pd-Si,Si0.99,20000,job2,False
Pd-Si,Si0.99,20000,job3,False
Pd-Si,Si0.99,20000,job6,False
Pd-Si,Si0.99,20000,job8,False
Pd-Si,Si0.99,20000,job7,False
Pd-Si,Si0.99,20000,job5,False
Pd-Si,Si0.99,20000,job9,False
Pd-Si,Si0.99,20000,job4,False
Pd-Si,Si0.99,20000,job10,False
Pd-Si,Si0.99,50000,job1,False
Pd-Si,Si0.99,50000,job2,False
Pd-Si,Si0.99,50000,job3,False
Pd-Si,Si0.99,50000,job6,False
Pd-Si,Si0.99,50000,job8,False
Pd-Si,Si0.99,50000,job7,False
Pd-Si,Si0.99,50000,job5,False
